name,date_of_execution,duration_of_execution,seed,number_of_modules,number_of_max_qubits_per_module,number_of_max_gates_per_module,reduced_distance,maximum_allowed_weight,number_of_qubits_x_[row],number_of_qubits_y_[column],heuristic,qubit_modules,qubit_mapping,depth,total_qubits,gate_count,swap_count,t_count,qiskit_optimization_level,qiskit_depth,qiskit_total_qubits,qiskit_gate_count,qiskit_swap_count,qiskit_t_count
result72,2024-11-06 17:05:48,18.170748710632324,6556,4,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [1, 8, 9, 10], 2: [4, 5, 6, 7], 3: [1, 7, 11, 12]}","[{2: [5149, 5148, 5048, 4948], 0: [4849, 4949, 4950, 4951]}, {1: [4949, 4849, 4749, 4649]}, {3: [4949, 4948, 4848, 4748]}]",11,12,18,0,1,1,8,13,18,0,1
result73,2024-11-06 17:06:09,16.69286060333252,2280,4,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4, 5, 6], 2: [2, 6], 3: [5, 7, 8]}","[{1: [4850, 4851, 4951, 5051], 0: [5149, 5150, 5050]}, {2: [5050, 5051], 3: [4951, 4952, 4953]}]",7,9,16,0,5,1,5,9,16,0,5
result74,2024-11-06 17:06:29,15.0185067653656,4991,4,4,6,,5,100,100,False,"{0: [0, 1], 1: [1, 5, 6], 2: [2, 3, 4], 3: [5, 3, 7]}","[{0: [4849, 4848], 2: [4949, 4948, 5048]}, {1: [4848, 4748, 4648]}, {3: [4748, 4648, 4548]}]",10,8,18,3,5,1,9,8,18,0,5
result75,2024-11-06 17:06:46,15.223501920700071,2492,4,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4, 5], 2: [1, 6, 7], 3: [2, 3]}","[{0: [4849, 4848, 4948], 1: [4949, 5049, 5050]}, {3: [4948, 4949], 2: [4848, 4947, 4847]}]",6,8,15,0,5,1,6,8,15,0,5
result76,2024-11-06 17:07:03,17.431798458099365,6232,4,4,6,,5,100,100,False,"{0: [0, 1], 1: [1, 2, 3, 4], 2: [0, 5], 3: [3, 6, 7]}","[{0: [4949, 4950]}, {2: [4949, 4849], 1: [4950, 4850, 5051, 4951]}, {3: [5051, 4851, 4951]}]",9,7,17,0,1,1,6,8,17,0,1
result77,2024-11-06 17:07:23,16.69062876701355,6026,4,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4], 2: [2, 4, 6, 7], 3: [0, 5]}","[{0: [5048, 5049, 4949], 1: [4850, 4849]}, {3: [5048, 5148], 2: [4948, 4849, 4949, 5049]}]",9,7,19,1,3,1,7,8,19,0,3
result78,2024-11-06 17:07:42,16.030178785324097,8574,4,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4], 2: [1, 3, 6, 7], 3: [0, 5]}","[{0: [5048, 5049, 4949], 1: [5050, 4950]}, {3: [5048, 5148], 2: [5049, 5050, 5051, 5052]}]",7,8,21,0,3,1,5,8,21,0,3
result79,2024-11-06 17:08:00,21.291139602661133,4082,4,4,6,,5,100,100,False,"{0: [0, 1], 1: [1, 2, 3], 2: [3, 7, 8, 9], 3: [0, 4, 5, 6]}","[{0: [4949, 4950]}, {1: [4950, 4750, 4850], 3: [4949, 5050, 5049, 5051]}, {2: [4850, 4650, 4750, 4550]}]",7,9,14,0,5,1,6,10,14,0,5
result80,2024-11-06 17:08:23,16.0289306640625,6263,4,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4], 2: [1, 5, 6, 7], 3: [4, 7]}","[{0: [4848, 4948, 4949], 1: [5049, 5048]}, {2: [4948, 4848, 4748, 4648]}, {3: [4748, 4648]}]",11,7,23,3,5,1,10,8,23,0,5
result81,2024-11-06 17:08:42,45.023850202560425,7342,4,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [1, 4, 5, 6], 2: [4, 10, 11, 12], 3: [3, 7, 8, 9]}","[{0: [5050, 4950, 4949, 5049]}, {1: [4950, 4949, 4750, 4850], 3: [5049, 5150, 5149, 5151]}, {2: [4949, 4948, 4749, 4849]}]",10,12,18,0,5,1,8,13,18,0,5
result82,2024-11-06 17:09:29,15.34030055999756,7035,4,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [4, 5], 2: [3, 6, 7], 3: [5, 6, 8]}","[{1: [4951, 5051], 0: [5048, 4949, 5049, 5050]}, {2: [5050, 4950, 4850]}, {3: [4951, 4950, 4850]}]",11,8,16,1,2,1,5,9,16,0,2
result83,2024-11-06 17:09:46,15.903685331344604,5194,4,4,6,,5,100,100,False,"{0: [0, 1], 1: [1, 2], 2: [2, 3], 3: [3, 4, 5]}","[{0: [4949, 4950]}, {1: [4950, 4850]}, {2: [4850, 4750]}, {3: [4750, 4550, 4650]}]",11,6,12,0,2,1,9,6,12,0,2
